time,id,status,currency,buying_power,regt_buying_power,daytrading_buying_power,cash,portfolio_value,pattern_day_trader,trading_blocked,transfers_blocked,account_blocked,created_at,trade_suspended_by_user,multiplier,shorting_enabled,equity,last_equity,long_market_value,short_market_value,initial_margin,maintenance_margin,last_maintenance_margin,sma,daytrade_count
2019-04-10 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8078.18,8078.18,0,5599.75,5291.7,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5291.7,5291.7,1098.59,-1406.6399999999999,1252.61,209.18,209.18,0,0
2019-04-10 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8193.08,8193.08,0,5484.84,5291.7,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5291.7,5291.7,1098.59,-1291.73,1195.16,209.18,209.18,0,0
2019-04-11 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8192.26,8192.26,0,5484.84,5294.7,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5294.7,5291.7,1103.5,-1293.6399999999999,1198.57,211.68,209.18,0,0
2019-04-11 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8897.86,8897.86,0,6190.44,5294.7,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5294.7,5294.7,397.9,-1293.6399999999999,845.77,146.84,211.68,0,0
2019-04-11 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9387.34,9387.34,0,5700.96,5294.7,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5294.7,5294.7,397.9,-804.16,601.03,119.37,146.84,0,0
2019-04-12 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9347.72,9347.72,0,5700.96,5281.4,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5281.4,5294.7,397.76,-817.32,607.54,119.33,119.37,0,0
2019-04-13 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9347.72,9347.72,0,5700.96,5281.4,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5281.4,5281.4,397.76,-817.32,607.54,119.33,119.33,0,0
2019-04-14 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9347.72,9347.72,0,5700.96,5281.4,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5281.4,5281.4,397.76,-817.32,607.54,119.33,119.33,0,0
2019-04-15 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9383.7,9383.7,0,5700.96,5293.86,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5293.86,5281.4,398.46,-805.56,602.01,119.54,119.33,0,0
2019-04-16 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9356.44,9356.44,0,5700.96,5284.8,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5284.8,5293.86,398.5,-814.66,606.58,119.55,119.54,0,0
2019-04-17 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9380.56,9380.56,0,5700.96,5298.0,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5298.0,5284.8,406.24,-809.1999999999999,607.72,121.87,119.55,0,0
2019-04-18 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9384.34,9384.34,0,5700.96,5300.25,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5300.25,5298.0,407.72,-808.43,608.08,122.32,121.87,0,0
2019-04-19 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9384.34,9384.34,0,5700.96,5300.25,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5300.25,5300.25,407.72,-808.43,608.08,122.32,122.32,0,0
2019-04-20 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9384.34,9384.34,0,5700.96,5300.25,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5300.25,5300.25,407.72,-808.43,608.08,122.32,122.32,0,0
2019-04-21 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9384.34,9384.34,0,5700.96,5300.25,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5300.25,5300.25,407.72,-808.43,608.08,122.32,122.32,0,0
2019-04-22 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9396.62,9396.62,0,5700.96,5305.38,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5305.38,5300.25,409.28,-804.86,607.07,122.78,122.32,0,0
2019-04-23 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9373.16,9373.16,0,5700.96,5301.39,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5301.39,5305.38,415.02,-814.59,614.81,124.51,122.78,0,0
2019-04-24 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9329.66,9329.66,0,5700.96,5286.45,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5286.45,5301.39,414.36,-828.87,621.62,124.31,124.51,0,0
2019-04-25 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9351.74,9351.74,0,5700.96,5291.22,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5291.22,5286.45,410.48,-820.225,615.35,123.14,124.31,0,0
2019-04-26 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9349.1,9349.1,0,5700.96,5289.07,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5289.07,5291.22,408.58,-820.4699999999999,614.52,122.57,123.14,0,0
2019-04-26 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8257.96,8257.96,0,6792.09,5289.07,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5289.07,5289.07,408.58,-1911.6,1160.09,327.34,122.57,0,0
2019-04-26 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,7882.94,7882.94,0,6417.07,5289.07,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5289.07,5289.07,783.5999999999999,-1911.6,1347.6,112.51,327.34,0,0
2019-04-27 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,7882.94,7882.94,0,6417.07,5289.07,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5289.07,5289.07,783.5999999999999,-1911.6,1347.6,112.51,112.51,0,0
2019-04-28 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,7882.94,7882.94,0,6417.07,5289.07,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5289.07,5289.07,783.5999999999999,-1911.6,1347.6,112.51,112.51,0,0
2019-04-29 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,7907.64,7907.64,0,6417.07,5295.52,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5295.52,5289.07,780.9300000000001,-1902.48,1341.7,111.51,112.51,0,0
2019-04-30 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,7939.1,7939.1,0,6417.07,5299.82,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5299.82,5295.52,771.65,-1888.895,1330.27,111.15,111.51,0,0
2019-05-01 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,7986.02,7986.02,0,6417.07,5334.26,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5334.26,5299.82,799.85,-1882.6599999999999,1341.25,113.64,111.15,0,0
2019-05-02 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8096.84,8096.84,0,6417.07,5369.56,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5369.56,5334.26,797.39,-1844.9,1321.14,113.72,113.64,0,0
2019-05-03 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8094.7,8094.7,0,6417.07,5376.32,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5376.32,5369.56,808.5899999999999,-1849.3400000000001,1328.97,115.51,113.72,0,0
2019-05-04 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8094.7,8094.7,0,6417.07,5376.32,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5376.32,5376.32,808.5899999999999,-1849.3400000000001,1328.97,115.51,115.51,0,0
2019-05-05 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8094.7,8094.7,0,6417.07,5376.32,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5376.32,5376.32,808.5899999999999,-1849.3400000000001,1328.97,115.51,115.51,0,0
2019-05-06 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8145.4,8145.4,0,6417.07,5384.78,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5384.78,5376.32,795.9300000000001,-1828.22,1312.08,113.62,115.51,0,0
2019-05-07 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8209.88,8209.88,0,6417.07,5393.24,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5393.24,5384.78,776.3800000000001,-1800.21,1288.3,111.2,113.62,0,0
2019-05-07 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,8580.54,8580.54,0,6787.73,5393.24,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5393.24,5393.24,405.72,-1800.21,1102.97,300.81,111.2,0,0
2019-05-07 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9583.24,9583.24,0,5785.03,5393.24,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5393.24,5393.24,405.72,-797.51,601.62,121.72,300.81,0,0
2019-05-07 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9697.18,9697.18,0,5671.1,5393.24,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5393.24,5393.24,405.72,-683.58,544.65,121.72,121.72,0,0
