id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,asset_id,symbol,asset_class,qty,filled_qty,filled_avg_price,order_type,type,side,time_in_force,limit_price,stop_price,status
d6823046-88d7-4552-a6aa-61b6d3305c79,92a67ef4-c3bd-4703-bd0a-2521e54ad59c,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,,,,21d40833-6d13-4031-9af3-02f6a516d791,IBM,us_equity,5,5,128.26,market,market,sell,day,,,filled
3f037666-59aa-4005-b380-16f348874cd2,9660b995-a4a5-433a-aea4-584bae1c96ad,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,,,,cf80d13f-470c-4947-8593-c5e098aeba4e,CRM,us_equity,4,4,145.03,market,market,buy,day,,,filled
a4be6624-430d-42bd-81cd-3a007fb7a26c,0daba002-dbd3-498f-a5b1-bc55d4c3b6fe,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,8,8,101.95,market,market,buy,day,,,filled
a324b01f-e743-483f-8591-c1b7fc8105bc,11caf46a-f4d6-4bf0-a5b1-6e2a677ed3a7,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,,,,cf80d13f-470c-4947-8593-c5e098aeba4e,CRM,us_equity,4,4,158.41,market,market,sell,day,,,filled
d965031c-57ab-4b3b-8a08-abb0c48c532b,135eec33-eb9b-4928-a48b-6ad411813b44,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,1,1,104.42,market,market,sell,day,,,filled
b64294b7-9404-455f-8924-0bdeacdf4e71,267ed656-88b8-4241-87ac-752175734bd4,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,2019-06-05T00:00:00Z,,,,21d40833-6d13-4031-9af3-02f6a516d791,IBM,us_equity,5,5,131.45,market,market,buy,day,,,filled
f77a65b1-df6d-44c8-99a6-ed2e2dd8f9ff,db0d798f-9629-49ad-a208-9cddbebe52c0,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,,,,21d40833-6d13-4031-9af3-02f6a516d791,IBM,us_equity,1,1,132.25,market,market,sell,day,,,filled
cb3e4fad-3d9a-4eba-815e-51f5a7fabf00,c81547ee-a47c-43ec-b947-e2a73a29d1f5,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,7,7,105.11,market,market,sell,day,,,filled
92e45e46-dcca-4f37-9b83-3741b1922240,a008bccc-4cb5-47fc-919a-f54352c92a43,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,2019-06-06T00:00:00Z,,,,2edb3ef9-b5d8-4667-be8f-334884498ac9,DG,us_equity,4,4,131.48,market,market,buy,day,,,filled
80a56aee-2089-41d1-a87e-da94c5a45da9,68b893ac-9f11-44f0-af13-a1e63af4c3ba,2019-06-10T00:00:00Z,2019-06-10T00:00:00Z,2019-06-10T00:00:00Z,2019-06-10T00:00:00Z,,,,21d40833-6d13-4031-9af3-02f6a516d791,IBM,us_equity,4,4,134.71,market,market,sell,day,,,filled
