time,asset_class,asset_id,avg_entry_price,change_today,cost_basis,current_price,exchange,lastday_price,market_value,qty,side,symbol,unrealized_intraday_pl,unrealized_intraday_plpc,unrealized_pl,unrealized_plpc
2019-06-10 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,131.45,0,657.25,134.71,NYSE,133.29,673.5500000000001,5,long,IBM,0,0,16.3,0.0248
2019-06-10 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,-16.3,0,-0.0,134.71,NYSE,133.29,0.0,0,long,IBM,0,0,16.3,0.0248
2019-06-10 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,-22.44,0,-0.0,152.8,NYSE,161.22,0.0,0,short,CRM,0,0,22.44,0.03541
2019-06-11 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,135.92,NYSE,134.71,-679.6,-5,short,IBM,0,0,0.0,0.0
2019-06-11 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,150.05,NYSE,152.8,600.2,4,long,CRM,0,0,0.0,0.0
2019-06-12 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,134.87,NYSE,135.92,-674.35,-5,short,IBM,0,0,5.25,0.00773
2019-06-12 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,151.26,NYSE,150.05,605.04,4,long,CRM,0,0,4.84,0.00806
2019-06-13 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,135.78,NYSE,134.87,-678.9,-5,short,IBM,0,0,0.7,0.00103
2019-06-13 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,151.34,NYSE,151.26,605.36,4,long,CRM,0,0,5.16,0.0086
2019-06-13 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.76,0,-1027.12,27.76,NASDAQ,27.21,-1027.12,-37,short,DISCK,0,0,0.0,0.0
2019-06-13 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,343.57,NASDAQ,345.54,343.57,1,long,NFLX,0,0,0.0,0.0
2019-06-14 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,135.19,NYSE,135.78,-675.95,-5,short,IBM,0,0,3.65,0.00537
2019-06-14 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,149.9801,NYSE,151.34,599.9204,4,long,CRM,0,0,-0.28,-0.00047
2019-06-14 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.76,0,-1027.12,26.84,NASDAQ,27.76,-993.08,-37,short,DISCK,0,0,34.04,0.03314
2019-06-14 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,339.73,NASDAQ,343.57,339.73,1,long,NFLX,0,0,-3.84,-0.01118
2019-06-14 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,109.07,NYSE,108.65,-763.49,-7,short,WMT,0,0,0.0,0.0
2019-06-14 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,135.64,NYSE,135.96,542.56,4,long,DG,0,0,0.0,0.0
2019-06-14 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.79,0,-1000.44,26.84,NASDAQ,27.76,-966.24,-36,short,DISCK,0,0,34.2,0.03418
2019-06-15 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,135.19,NYSE,135.19,-675.95,-5,short,IBM,0,0,3.65,0.00537
2019-06-15 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,149.9801,NYSE,149.9801,599.9204,4,long,CRM,0,0,-0.28,-0.00047
2019-06-15 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.79,0,-1000.44,26.84,NASDAQ,26.84,-966.24,-36,short,DISCK,0,0,34.2,0.03418
2019-06-15 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,339.73,NASDAQ,339.73,339.73,1,long,NFLX,0,0,-3.84,-0.01118
2019-06-15 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,109.07,NYSE,109.07,-763.49,-7,short,WMT,0,0,0.0,0.0
2019-06-15 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,135.64,NYSE,135.64,542.56,4,long,DG,0,0,0.0,0.0
2019-06-16 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,135.19,NYSE,135.19,-675.95,-5,short,IBM,0,0,3.65,0.00537
2019-06-16 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,149.9801,NYSE,149.9801,599.9204,4,long,CRM,0,0,-0.28,-0.00047
2019-06-16 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.79,0,-1000.44,26.84,NASDAQ,26.84,-966.24,-36,short,DISCK,0,0,34.2,0.03418
2019-06-16 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,339.73,NASDAQ,339.73,339.73,1,long,NFLX,0,0,-3.84,-0.01118
2019-06-16 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,109.07,NYSE,109.07,-763.49,-7,short,WMT,0,0,0.0,0.0
2019-06-16 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,135.64,NYSE,135.64,542.56,4,long,DG,0,0,0.0,0.0
2019-06-16 00:00:00,us_equity,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,192.745,0,-578.24,192.745,NASDAQ,194.74,-578.24,-3,short,AAPL,0,0,0.0,0.0
2019-06-16 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,26.84,NASDAQ,27.76,-939.4,-35,short,DISCK,0,0,34.3,0.03523
2019-06-16 00:00:00,us_equity,440efabf-b53c-4d70-b6e5-abb4f53e7104,107.28,0,750.96,107.28,NASDAQ,111.185,750.96,7,long,TXN,0,0,0.0,0.0
2019-06-17 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,134.95,NYSE,135.19,-674.75,-5,short,IBM,0,0,4.85,0.00714
2019-06-17 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,150.28,NYSE,149.9801,601.12,4,long,CRM,0,0,0.92,0.00153
2019-06-17 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,27.21,NASDAQ,26.84,-952.35,-35,short,DISCK,0,0,21.35,0.02193
2019-06-17 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,350.61,NASDAQ,339.73,350.61,1,long,NFLX,0,0,7.04,0.02049
2019-06-17 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,109.15,NYSE,109.07,-764.0500000000001,-7,short,WMT,0,0,-0.56,-0.00073
2019-06-17 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,135.87,NYSE,135.64,543.48,4,long,DG,0,0,0.92,0.0017
2019-06-17 00:00:00,us_equity,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,192.745,0,-578.24,193.95,NASDAQ,192.745,-581.8499999999999,-3,short,AAPL,0,0,-3.61,-0.00624
2019-06-17 00:00:00,us_equity,440efabf-b53c-4d70-b6e5-abb4f53e7104,107.28,0,750.96,106.72,NASDAQ,107.28,747.04,7,long,TXN,0,0,-3.92,-0.00522
2019-06-18 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,136.38,NYSE,134.95,-681.9,-5,short,IBM,0,0,-2.3,-0.00338
2019-06-18 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,150.6,NYSE,150.28,602.4,4,long,CRM,0,0,2.2,0.00367
2019-06-18 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,27.25,NASDAQ,27.21,-953.75,-35,short,DISCK,0,0,19.95,0.02049
2019-06-18 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,356.99,NASDAQ,350.61,356.99,1,long,NFLX,0,0,13.42,0.03906
2019-06-18 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,109.67,NYSE,109.15,-767.69,-7,short,WMT,0,0,-4.2,-0.0055
2019-06-18 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,137.04,NYSE,135.87,548.16,4,long,DG,0,0,5.6,0.01032
2019-06-18 00:00:00,us_equity,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,192.745,0,-578.24,198.5,NASDAQ,193.95,-595.5,-3,short,AAPL,0,0,-17.26,-0.02985
2019-06-18 00:00:00,us_equity,440efabf-b53c-4d70-b6e5-abb4f53e7104,107.28,0,750.96,111.04,NASDAQ,106.72,777.2800000000001,7,long,TXN,0,0,26.32,0.03505
2019-06-19 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,135.92,0,-679.6,137.1,NYSE,136.38,-685.5,-5,short,IBM,0,0,-5.9,-0.00868
2019-06-19 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,150.05,0,600.2,154.1,NYSE,150.6,616.4,4,long,CRM,0,0,16.2,0.02699
2019-06-19 00:00:00,us_equity,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,27.82,0,-973.7,28.03,NASDAQ,27.25,-981.0500000000001,-35,short,DISCK,0,0,-7.35,-0.00755
2019-06-19 00:00:00,us_equity,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,343.57,0,343.57,363.49,NASDAQ,356.99,363.49,1,long,NFLX,0,0,19.92,0.05798
2019-06-19 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,109.07,0,-763.49,109.62,NYSE,109.67,-767.34,-7,short,WMT,0,0,-3.85,-0.00504
2019-06-19 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,135.64,0,542.56,138.18,NYSE,137.04,552.72,4,long,DG,0,0,10.16,0.01873
2019-06-19 00:00:00,us_equity,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,192.745,0,-578.24,197.86,NASDAQ,198.5,-593.58,-3,short,AAPL,0,0,-15.34,-0.02653
